Region,InstanceId,InstanceType,State,CPUUtilization
ap-south-1,i-06be25222d2a95497,t2.medium,running,0.3334394889694054 
ap-south-1,i-0415d5af35e39e8a5,t2.micro,running,0.6517794700952708 
